REF,COUNTRY,ADM0_A3,ZONE,ST_DATE,END_DATE,YEAR,DIS_TYPE,CATEGORY,DIS_CATEGORY,RESPONSE_TYPE,TOT_TARGET_BENIFICIARIES,TOTAL_BUDGET
762,Panama,PAN,Americas,9/1/2004,12/1/2004,2004,Floods,floods,Natural Hydrometeorologic hydrological,Information bulletin,2500,50000
764,Rwanda,RWA,Africa,10/1/2004,4/1/2005,2004,People fleeing Burndi,peoplefleeingburndi,Human related,Information bulletin,3250,50000
768,Senegal,SEN,Africa,10/1/2004,12/1/2004,2004,Cholera,cholera,Natural Biological,Information bulletin,475,27000
772,Albania,ALB,Europe,11/1/2004,1/1/2005,2004,Floods,floods,Natural Hydrometeorologic hydrological,Information bulletin,2500,80427
769,Central African Republic,CAF,Africa,11/1/2004,2/1/2005,2004,Floods,floods,Natural Hydrometeorologic hydrological,Information bulletin,500,20000
770,Costa Rica,CRI,Americas,11/1/2004,11/1/2005,2004,Floods,floods,Natural Hydrometeorologic hydrological,Information bulletin,5000,40000
774,Zambia,ZMB,Africa,12/1/2004,2/1/2004,2004,Cholera Outbreak,choleraoutbreak,Natural Biological,Information bulletin,5865,50000
682,Albania,ALB,Africa,2/1/2005,5/1/2005,2005,Snowfalls,snowfalls,Natural Hydrometeorologic climatological,Information bulletin,2500,
713,Venezuela,VEN,Americas,2/1/2005,,2005,Floods,floods,Natural Hydrometeorologic hydrological,Information bulletin,5000,
690,Chad,TCD,Europe,7/1/2005,2/1/2006,2005,Central African refugees,centralafricanrefugees,Human related,Information bulletin,missing data,
609,Iran,IRN,Middle East and North Africa,4/1/2006,,2006,Doroud Earthquake,doroudearthquake,Natural Hydrometeorologic hydrological,Information bulletin,,
758,Sudan,SDN,Africa,6/1/2004,12/1/2004,2004,darfur,darfur,not known,Report not found,,
766,Tajikistan,TJK,Europe,7/1/2004,11/1/2004,2004,Water & Sanitation,watersanitation,not known,Report not found,,
760,Uganda,UGA,Africa,8/1/2004,12/1/2004,2004,Youth Alliance,youthalliance,not known,Report not found,,
686,Bosnia and Herzegovina,BIH,Africa,2/1/2005,3/1/2005,2005,Snowfalls,snowfalls,Natural Hydrometeorologic climatological,Report not found,,
697,El Salvador,SLV,Americas,5/1/2005,12/1/2005,2005,Tropical Storm Adrian,tropicalstormadrian,Natural Hydrometeorologic meteorological,Report not found,,
707,Russia,RUS,Europe,11/1/2005,5/1/2005,2005,Avian flu,avianflu,Natural Biological,Report not found,,
712,Ukraine,UKR,Europe,12/1/2005,1/1/2006,2005,avian flu awareness campaign,avianfluawarenesscampaign,Natural Biological,Report not found,,
